sqlite> select a1.from_,h.addr,h.contents,h2.hintsrc,h2.contents,count(*) as cnt from hint h join addr as a1 on a1.to_ = h.addr join hint as h2 on h2.addr = a1.from_ and h2.hintsrc = 'BOOTP.Fingerprint' where h.hintsrc = 'BROWSE.OS' group by h.contents,h2.contents order by length(h2.contents) desc, h2.contents desc, cnt desc;
a1.from_           h.addr       h.contents  h2.hintsrc         h2.contents                                                             cnt
00:0f:1f:69:f0:2a  10.43.96.7   5.2         BOOTP.Fingerprint  128,Ack,"53,58,59,51,54,1,15,3,6",""                                   1
00:0f:1f:69:f0:2a  10.43.96.7   5.2         BOOTP.Fingerprint  128,Off,"53,1,58,59,51,54,15,3,6",""                                    1
00:0f:1f:69:f0:2a  10.43.96.7   5.2         BOOTP.Fingerprint  128,Ack,"53,58,59,51,54,1,6,3,15",""                                    1
00:0f:1f:69:f0:2a  10.43.96.7   5.2         BOOTP.Fingerprint  128,Ack,"53,58,59,51,54,1,15,3,6",""                                    1
00:0f:1f:69:f0:2a  10.43.96.7   5.2         BOOTP.Fingerprint  128,Ack,"53,54,1,15,3,6",""                                            1
00:0f:1f:69:f0:2a  10.43.96.7   5.2         BOOTP.Fingerprint  128,Ack,"53,54,1,15,3,6",""                                             1
00:0f:1f:66:5f:78  10.43.97.3   5.2         BOOTP.Fingerprint  128,Inf,"53,61,12,55","3"                                               2
00:0f:1f:66:5f:78  10.43.97.3   5.1         BOOTP.Fingerprint  128,Inf,"53,61,12,55","3"                                               1
00:0b:db:d6:e1:c4  10.43.99.5   5.1         BOOTP.Fingerprint  128,Rel,"53,54,61",""                                                  1
00:0f:1f:69:f0:2a  10.43.96.7   5.2         BOOTP.Fingerprint  128,Ack,"53,54,1,3",""                                                  1
00:0b:db:e7:9a:c4  10.43.96.5   5.0         BOOTP.Fingerprint  128,Rel,"53,54,61",""                                                   1
00:0b:db:d6:e1:c4  10.43.99.5   5.1         BOOTP.Fingerprint  128,Rel,"53,54,61",""                                                   1

